Date : 2022-11-14 19:05:05
Directory : \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon
Total : 60 files,  5317 codes, 423 comments, 724 blanks, all 6464 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\timedCommitment_experiment\config\handleConfig.go | Go               |         69 |         15 |         23 |        107 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\timedCommitment_experiment\go.mod                 | Go Module File   |         21 |          0 |          4 |         25 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\timedCommitment_experiment\go.sum                 | Go Checksum File |        469 |          0 |          1 |        470 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\timedCommitment_experiment\main.go                | Go               |         42 |          7 |         11 |         60 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\timedCommitment_experiment\src\commit.go          | Go               |        112 |          1 |         19 |        132 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\timedCommitment_experiment\src\open.go            | Go               |         28 |          0 |          9 |         37 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\timedCommitment_experiment\src\rand_util.go       | Go               |         30 |          7 |          7 |         44 |
| \\wsl.localhost\Ubuntu-20.04\home\psyduckliu\Randomness-Beacon\timedCommitment_experiment\src\setup.go           | Go               |        157 |         29 |         29 |        215 |
| Total                                                                                                            |                  |      5,317 |        423 |        724 |      6,464 |
+------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
